Unnamed: 0,Menu,Energy (kJ),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),PUFA (g),Cholesterol (mg),Vitamin A (mg),Vitamin E (eq.) (mg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B6 (mg),Total Folic Acid (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Zinc (mg)
0,Breastmilk (> 10 days post partum),288,1.13,4.03,7.0,0.0,0.0,0.016,69.0,0.28,0.015,0.038,0.014,8,6.5,13,47,29,3.2,15,0.058,0.134
1,kemiri,1155,22.4,4.4,51.7,10.3,0.9,0.0,2334.0,2.0,0.17,1.23,1.0,608,122.0,452,3805,1468,249.0,351,97.9,4.8
2,adonan tepung beras,544,2.4,0.2,28.6,0.3,0.1,0.0,0.0,0.0,0.02,0.02,0.05,2,0.0,0,29,3,13.0,37,0.2,0.4
3,adonan tepung tapioka,1594,0.3,0.1,91.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,3,2,3.0,13,0.5,0.1
4,adonan tepung terigu,1523,10.3,1.0,76.3,2.7,0.4,0.0,0.0,0.0,0.1,0.04,0.04,18,0.0,2,107,15,22.0,108,1.2,0.7
5,beras ketan hitam,1510,6.7,0.6,79.5,0.8,0.3,0.0,0.0,0.0,0.06,0.06,0.14,6,0.0,0,81,8,36.0,103,0.6,1.1
6,beras ketan putih giling,1510,6.7,0.6,79.5,0.8,0.3,0.0,0.0,0.0,0.06,0.06,0.14,6,0.0,0,81,8,36.0,103,0.6,1.1
7,beras ketan putih tumbuk,1510,6.7,0.6,79.5,0.8,0.3,0.0,0.0,0.0,0.06,0.06,0.14,6,0.0,0,81,8,36.0,103,0.6,1.1
8,beras merah + beras pth campur,1418,6.6,1.4,72.9,2.8,0.5,0.0,0.0,0.0,0.17,0.04,0.28,9,0.0,1,152,18,80.0,160,1.0,1.4
9,beras merah giling,1498,7.4,2.6,75.2,5.4,1.0,0.0,0.0,0.0,0.32,0.03,0.48,13,0.0,3,253,32,141.0,246,1.6,1.9
10,beras merah tumbuk,1498,7.4,2.6,75.2,5.4,1.0,0.0,0.0,0.0,0.32,0.03,0.48,13,0.0,3,253,32,141.0,246,1.6,1.9
11,beras putih giling,1510,6.7,0.6,79.5,0.8,0.3,0.0,0.0,0.0,0.06,0.06,0.14,6,0.0,0,81,8,36.0,103,0.6,1.1
12,beras putih tumbuk,1510,6.7,0.6,79.5,0.8,0.3,0.0,0.0,0.0,0.06,0.06,0.14,6,0.0,0,81,8,36.0,103,0.6,1.1
13,bihun,1594,0.3,0.1,91.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,3,2,3.0,13,0.5,0.1
14,bihun goreng,992,1.9,15.2,22.9,0.2,8.8,0.0,0.0,1.0,0.02,0.02,0.04,2,0.0,0,23,2,10.0,30,0.2,0.3
15,tepung beras ketan putih,1510,6.7,0.6,79.5,0.8,0.3,0.0,0.0,0.0,0.06,0.06,0.14,6,0.0,0,81,8,36.0,103,0.6,1.1
16,tepung beras merah,1498,7.4,2.6,75.2,5.4,1.0,0.0,0.0,0.0,0.32,0.03,0.48,13,0.0,3,253,32,141.0,246,1.6,1.9
17,temu ireng,184,1.4,0.2,10.2,1.4,0.1,0.0,0.0,0.0,0.04,0.02,0.13,15,5.0,3,166,22,11.0,35,0.2,0.2
18,tepung beras,1510,6.7,0.6,79.5,0.8,0.3,0.0,0.0,0.0,0.06,0.06,0.14,6,0.0,0,81,8,36.0,103,0.6,1.1
19,tepung kentang,1594,0.3,0.1,91.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,3,2,3.0,13,0.5,0.1
20,tepung jagung putih,1515,8.1,3.6,76.9,7.3,1.6,0.0,0.0,1.0,0.39,0.2,0.3,25,0.0,35,287,6,127.0,241,3.5,1.8
21,tepung sagu,1594,0.3,0.1,91.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,3,2,3.0,13,0.5,0.1
22,tepung maizena,1594,0.3,0.1,91.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,3,2,3.0,13,0.5,0.1
23,tepung jagung kuning,1515,8.1,3.6,76.9,7.3,1.6,0.0,47.0,1.0,0.39,0.2,0.3,25,0.0,35,287,6,127.0,241,3.5,1.8
24,tepung garut / arrowroot,1594,0.3,0.1,91.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,3,2,3.0,13,0.5,0.1
